course_id,integration_id,short_name,long_name,account_id,term_id,status,start_date,end_date,course_format,blueprint_course_id
MRAD.801.202615.35E,,MRAD 801 35E:,26 SPRING MRAD 801 35E: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-05-04T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.32E,,MRAD 801 32E:,26 SPRING MRAD 801 32E: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-02-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.32H,,MRAD 801 32H:,26 SPRING MRAD 801 32H: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-02-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.32L,,MRAD 801 32L:,26 SPRING MRAD 801 32L: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-02-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.32T,,MRAD 801 32T:,26 SPRING MRAD 801 32T: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-02-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.33B,,MRAD 801 33B:,26 SPRING MRAD 801 33B: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-03-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.33D,,MRAD 801 33D:,26 SPRING MRAD 801 33D: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-03-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.33E,,MRAD 801 33E:,26 SPRING MRAD 801 33E: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-03-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.33F,,MRAD 801 33F:,26 SPRING MRAD 801 33F: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-03-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.33H,,MRAD 801 33H:,26 SPRING MRAD 801 33H: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-03-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.33L,,MRAD 801 33L:,26 SPRING MRAD 801 33L: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-03-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.33R,,MRAD 801 33R:,26 SPRING MRAD 801 33R: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-03-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
IMED.891.202615.37D,,IMED 891 37D:,26 SPRING IMED 891 37D: PULMONARY & SLEEP MED ELECTIVE,CS.CLMD,202615,active,2026-06-08T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.34B,,MRAD 801 34B:,26 SPRING MRAD 801 34B: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-04-06T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.34D,,MRAD 801 34D:,26 SPRING MRAD 801 34D: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-04-06T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.34E,,MRAD 801 34E:,26 SPRING MRAD 801 34E: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-04-06T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.34F,,MRAD 801 34F:,26 SPRING MRAD 801 34F: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-04-06T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.34H,,MRAD 801 34H:,26 SPRING MRAD 801 34H: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-04-06T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.34L,,MRAD 801 34L:,26 SPRING MRAD 801 34L: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-04-06T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.809.202615.35T,,MRAD 809 35T:,26 SPRING MRAD 809 35T: NEURORADIOLOGY,CS.CLMD,202615,active,2026-05-04T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.34R,,MRAD 801 34R:,26 SPRING MRAD 801 34R: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-04-06T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.35B,,MRAD 801 35B:,26 SPRING MRAD 801 35B: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-05-04T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.35D,,MRAD 801 35D:,26 SPRING MRAD 801 35D: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-05-04T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.35F,,MRAD 801 35F:,26 SPRING MRAD 801 35F: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-05-04T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.35H,,MRAD 801 35H:,26 SPRING MRAD 801 35H: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-05-04T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.35L,,MRAD 801 35L:,26 SPRING MRAD 801 35L: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-05-04T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.35R,,MRAD 801 35R:,26 SPRING MRAD 801 35R: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-05-04T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.35T,,MRAD 801 35T:,26 SPRING MRAD 801 35T: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-05-04T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.37F,,MRAD 801 37F:,26 SPRING MRAD 801 37F: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-06-08T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.36F,,MRAD 801 36F:,26 SPRING MRAD 801 36F: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-06-01T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.36H,,MRAD 801 36H:,26 SPRING MRAD 801 36H: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-06-01T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.36L,,MRAD 801 36L:,26 SPRING MRAD 801 36L: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-06-01T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.36R,,MRAD 801 36R:,26 SPRING MRAD 801 36R: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-06-01T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.37B,,MRAD 801 37B:,26 SPRING MRAD 801 37B: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-06-08T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.37D,,MRAD 801 37D:,26 SPRING MRAD 801 37D: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-06-08T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.37H,,MRAD 801 37H:,26 SPRING MRAD 801 37H: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-06-08T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.37L,,MRAD 801 37L:,26 SPRING MRAD 801 37L: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-06-08T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.37R,,MRAD 801 37R:,26 SPRING MRAD 801 37R: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-06-08T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.37T,,MRAD 801 37T:,26 SPRING MRAD 801 37T: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-06-08T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.802.202615.33T,,MRAD 802 33T:,26 SPRING MRAD 802 33T: RADIATION ONCOLOGY,CS.CLMD,202615,active,2026-03-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.802.202615.30B,,MRAD 802 30B:,26 SPRING MRAD 802 30B: RADIATION ONCOLOGY,CS.CLMD,202615,active,2026-01-01T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.802.202615.31E,,MRAD 802 31E:,26 SPRING MRAD 802 31E: RADIATION ONCOLOGY,CS.CLMD,202615,active,2026-01-05T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.802.202615.31T,,MRAD 802 31T:,26 SPRING MRAD 802 31T: RADIATION ONCOLOGY,CS.CLMD,202615,active,2026-01-05T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.802.202615.32E,,MRAD 802 32E:,26 SPRING MRAD 802 32E: RADIATION ONCOLOGY,CS.CLMD,202615,active,2026-02-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.802.202615.32T,,MRAD 802 32T:,26 SPRING MRAD 802 32T: RADIATION ONCOLOGY,CS.CLMD,202615,active,2026-02-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.802.202615.33E,,MRAD 802 33E:,26 SPRING MRAD 802 33E: RADIATION ONCOLOGY,CS.CLMD,202615,active,2026-03-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.802.202615.34E,,MRAD 802 34E:,26 SPRING MRAD 802 34E: RADIATION ONCOLOGY,CS.CLMD,202615,active,2026-04-06T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.809.202615.36T,,MRAD 809 36T:,26 SPRING MRAD 809 36T: NEURORADIOLOGY,CS.CLMD,202615,active,2026-06-01T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.802.202615.34T,,MRAD 802 34T:,26 SPRING MRAD 802 34T: RADIATION ONCOLOGY,CS.CLMD,202615,active,2026-04-06T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.802.202615.35E,,MRAD 802 35E:,26 SPRING MRAD 802 35E: RADIATION ONCOLOGY,CS.CLMD,202615,active,2026-05-04T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.802.202615.35T,,MRAD 802 35T:,26 SPRING MRAD 802 35T: RADIATION ONCOLOGY,CS.CLMD,202615,active,2026-05-04T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.802.202615.36E,,MRAD 802 36E:,26 SPRING MRAD 802 36E: RADIATION ONCOLOGY,CS.CLMD,202615,active,2026-06-01T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.802.202615.36T,,MRAD 802 36T:,26 SPRING MRAD 802 36T: RADIATION ONCOLOGY,CS.CLMD,202615,active,2026-06-01T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.802.202615.37E,,MRAD 802 37E:,26 SPRING MRAD 802 37E: RADIATION ONCOLOGY,CS.CLMD,202615,active,2026-06-08T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.806.202615.34T,,MRAD 806 34T:,26 SPRING MRAD 806 34T: CLINCL RESEARCH DESGN&APPL,CS.CLMD,202615,active,2026-04-06T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.806.202615.36T,,MRAD 806 36T:,26 SPRING MRAD 806 36T: CLINCL RESEARCH DESGN&APPL,CS.CLMD,202615,active,2026-06-01T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.806.202615.37T,,MRAD 806 37T:,26 SPRING MRAD 806 37T: CLINCL RESEARCH DESGN&APPL,CS.CLMD,202615,active,2026-06-08T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
IMED.891.202615.35T,,IMED 891 35T:,26 SPRING IMED 891 35T: PULMONARY & SLEEP MED ELECTIVE,CS.CLMD,202615,active,2026-05-04T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.807.202615.32T,,MRAD 807 32T:,26 SPRING MRAD 807 32T: BODY IMAGING,CS.CLMD,202615,active,2026-02-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.807.202615.35T,,MRAD 807 35T:,26 SPRING MRAD 807 35T: BODY IMAGING,CS.CLMD,202615,active,2026-05-04T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MFCM.800.202615.CC1,,"MFCM-800:30E,30R,31D,31H,31T",26 SPRING SHORT BLOCK 7 MFCM 800: FAMILY MEDICINE CLERKSHIP,CS.CLMD,202615,active,2026-01-05T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
SURG.836.202615.34D,,SURG 836 34D:,26 SPRING SURG 836 34D: ORTHOPEDIC HIP SURGERY,CS.CLMD,202615,active,2026-05-04T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.809.202615.32T,,MRAD 809 32T:,26 SPRING MRAD 809 32T: NEURORADIOLOGY,CS.CLMD,202615,active,2026-02-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.810.202615.31T,,MRAD 810 31T:,26 SPRING MRAD 810 31T: CURRENT CONCEPTS-NUCLEAR MED,CS.CLMD,202615,active,2026-01-05T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.810.202615.33T,,MRAD 810 33T:,26 SPRING MRAD 810 33T: CURRENT CONCEPTS-NUCLEAR MED,CS.CLMD,202615,active,2026-03-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
NEXT.800.202615.35D,,NEXT 800 35D:,26 SPRING NEXT 800 35D: NEUROLOGY CLERKSHIP,CS.CLMD,202615,active,2026-06-08T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MFCM.831.202615.36B,,MFCM 831 36B:,26 SPRING MFCM 831 36B: APPLIED MEDICAL ETHICS,CS.CLMD,202615,active,2026-06-01T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MFCM.985.202615.320,,MFCM 985 320:,26 SPRING MFCM 985 320: OFF CAMPUS SIE,CS.CLMD,202615,active,2026-02-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MEID.685.202615.30H,,MEID 685 30H:,26 SPRING MEID 685 30H: DIRECTED STUDIES,CS.CLMD,202615,active,2026-02-09T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.816.202615.30T,,MRAD 816 30T:,26 SPRING MRAD 816 30T: INTERVENTIONAL RADIOLOGY,CS.CLMD,202615,active,2026-01-01T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MFCM.985.202615.340,,MFCM 985 340:,26 SPRING MFCM 985 340: OFF CAMPUS SIE,CS.CLMD,202615,active,2026-04-06T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.816.202615.31D,,MRAD 816 31D:,26 SPRING MRAD 816 31D: INTERVENTIONAL RADIOLOGY,CS.CLMD,202615,active,2026-01-05T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.36B,,MRAD 801 36B:,26 SPRING MRAD 801 36B: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-06-01T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.816.202615.32E,,MRAD 816 32E:,26 SPRING MRAD 816 32E: INTERVENTIONAL RADIOLOGY,CS.CLMD,202615,active,2026-02-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.816.202615.33D,,MRAD 816 33D:,26 SPRING MRAD 816 33D: INTERVENTIONAL RADIOLOGY,CS.CLMD,202615,active,2026-03-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.816.202615.34E,,MRAD 816 34E:,26 SPRING MRAD 816 34E: INTERVENTIONAL RADIOLOGY,CS.CLMD,202615,active,2026-04-06T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
ANES.805.202615.34T,,ANES 805 34T:,26 SPRING ANES 805 34T: OBSTETRIC ANESTHESIOLOGY,CS.CLMD,202615,active,2026-04-06T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.816.202615.35E,,MRAD 816 35E:,26 SPRING MRAD 816 35E: INTERVENTIONAL RADIOLOGY,CS.CLMD,202615,active,2026-05-04T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.816.202615.36E,,MRAD 816 36E:,26 SPRING MRAD 816 36E: INTERVENTIONAL RADIOLOGY,CS.CLMD,202615,active,2026-06-01T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.816.202615.37D,,MRAD 816 37D:,26 SPRING MRAD 816 37D: INTERVENTIONAL RADIOLOGY,CS.CLMD,202615,active,2026-06-08T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MPED.815.202615.37T,,MPED 815 37T:,26 SPRING MPED 815 37T: PEDIATRIC GASTROENTEROLOLGY,CS.CLMD,202615,active,2026-06-08T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
SURG.865.202615.32E,,SURG 865 32E:,26 SPRING SURG 865 32E: OCULOPLASTIC SURG,CS.CLMD,202615,active,2026-02-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MFCM.800.202615.30E,,MFCM 800 30E:,26 SPRING MFCM 800 30E: FAMILY MEDICINE CLERKSHIP,CS.CLMD,202615,active,2026-01-05T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.819.202615.31T,,MRAD 819 31T:,26 SPRING MRAD 819 31T: PEDIATRIC RADIOLOGY,CS.CLMD,202615,active,2026-01-05T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.819.202615.35T,,MRAD 819 35T:,26 SPRING MRAD 819 35T: PEDIATRIC RADIOLOGY,CS.CLMD,202615,active,2026-05-04T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.819.202615.37T,,MRAD 819 37T:,26 SPRING MRAD 819 37T: PEDIATRIC RADIOLOGY,CS.CLMD,202615,active,2026-06-08T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.820.202615.32B,,MRAD 820 32B:,26 SPRING MRAD 820 32B: MUSCULOSKELETAL US - UPPER EXT,CS.CLMD,202615,active,2026-03-23T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.820.202615.35B,,MRAD 820 35B:,26 SPRING MRAD 820 35B: MUSCULOSKELETAL US - UPPER EXT,CS.CLMD,202615,active,2026-06-08T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.985.202615.340,,MRAD 985 340:,26 SPRING MRAD 985 340: OFF CAMPUS SIE,CS.CLMD,202615,active,2026-04-06T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.985.202615.310,,MRAD 985 310:,26 SPRING MRAD 985 310: OFF CAMPUS SIE,CS.CLMD,202615,active,2026-01-05T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.985.202615.320,,MRAD 985 320:,26 SPRING MRAD 985 320: OFF CAMPUS SIE,CS.CLMD,202615,active,2026-02-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.985.202615.360,,MRAD 985 360:,26 SPRING MRAD 985 360: OFF CAMPUS SIE,CS.CLMD,202615,active,2026-06-01T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.985.202615.370,,MRAD 985 370:,26 SPRING MRAD 985 370: OFF CAMPUS SIE,CS.CLMD,202615,active,2026-06-08T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MFCM.814.202615.37B,,MFCM 814 37B:,26 SPRING MFCM 814 37B: INPATIENT FAM MED ELECTIVE,CS.CLMD,202615,active,2026-06-08T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.999.202615.320,,MRAD 999 320:,26 SPRING MRAD 999 320: ON CAMPUS SIE,CS.CLMD,202615,active,2026-02-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.999.202615.330,,MRAD 999 330:,26 SPRING MRAD 999 330: ON CAMPUS SIE,CS.CLMD,202615,active,2026-03-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.999.202615.350,,MRAD 999 350:,26 SPRING MRAD 999 350: ON CAMPUS SIE,CS.CLMD,202615,active,2026-05-04T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.999.202615.370,,MRAD 999 370:,26 SPRING MRAD 999 370: ON CAMPUS SIE,CS.CLMD,202615,active,2026-06-08T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MEID.814.202615.31R,,MEID 814 31R:,26 SPRING MEID 814 31R: HEALTH SYSTEMS SCIENCE EDU,CS.CLMD,202615,active,2026-01-05T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
ANES.985.202615.330,,ANES 985 330:,26 SPRING ANES 985 330: OFF CAMPUS SIE,CS.CLMD,202615,active,2026-03-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MHUM.804.202615.320,,MHUM 804 320:,26 SPRING MHUM 804 320: MEDICAL EDUCATION,CS.CLMD,202615,active,2026-02-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MEID.989.202615.31B,,MEID 989 31B:,26 SPRING MEID 989 31B: SPTP: LIFESTYLE MED BEHAVIOR,CS.CLMD,202615,active,2026-01-05T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MEID.850.202615.30B,,MEID 850 30B:,26 SPRING MEID 850 30B: POM CAPSTONE,CS.CLMD,202615,active,2026-01-01T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
IMED.810.202615.33H,,IMED 810 33H:,26 SPRING IMED 810 33H: NEUROLOGY,CS.CLMD,202615,active,2026-03-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
SURG.864.202615.33E,,SURG 864 33E:,26 SPRING SURG 864 33E: MIN INVASIVE SURG RESEARCH,CS.CLMD,202615,active,2026-03-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
ANES.999.202615.340,,ANES 999 340:,26 SPRING ANES 999 340: ON CAMPUS SIE,CS.CLMD,202615,active,2026-04-06T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.34T,,MRAD 801 34T:,26 SPRING MRAD 801 34T: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-04-06T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
SURG.801.202615.31E,,SURG 801 31E:,26 SPRING SURG 801 31E: PLASTIC SURGERY,CS.CLMD,202615,active,2026-01-05T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
SURG.836.202615.31D,,SURG 836 31D:,26 SPRING SURG 836 31D: ORTHOPEDIC HIP SURGERY,CS.CLMD,202615,active,2026-02-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
SURG.801.202615.33R,,SURG 801 33R:,26 SPRING SURG 801 33R: PLASTIC SURGERY,CS.CLMD,202615,active,2026-03-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MFCM.810.202615.350,,MFCM 810 350:,26 SPRING MFCM 810 350: HEALTHCARE FOR THE UNDERSERVED,CS.CLMD,202615,active,2026-05-04T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
SURG.801.202615.31R,,SURG 801 31R:,26 SPRING SURG 801 31R: PLASTIC SURGERY,CS.CLMD,202615,active,2026-01-05T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
SURG.801.202615.31T,,SURG 801 31T:,26 SPRING SURG 801 31T: PLASTIC SURGERY,CS.CLMD,202615,active,2026-01-05T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
SURG.801.202615.32B,,SURG 801 32B:,26 SPRING SURG 801 32B: PLASTIC SURGERY,CS.CLMD,202615,active,2026-02-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
SURG.800.202615.32D,,SURG 800 32D:,26 SPRING SURG 800 32D: SURGERY CLERKSHIP,CS.CLMD,202615,active,2026-04-13T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
SURG.800.202615.30B,,SURG 800 30B:,26 SPRING SURG 800 30B: SURGERY CLERKSHIP,CS.CLMD,202615,active,2026-01-05T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
SURG.800.202615.30E,,SURG 800 30E:,26 SPRING SURG 800 30E: SURGERY CLERKSHIP,CS.CLMD,202615,active,2026-01-05T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
SURG.801.202615.32D,,SURG 801 32D:,26 SPRING SURG 801 32D: PLASTIC SURGERY,CS.CLMD,202615,active,2026-02-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
SURG.800.202615.30R,,SURG 800 30R:,26 SPRING SURG 800 30R: SURGERY CLERKSHIP,CS.CLMD,202615,active,2026-01-05T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
SURG.800.202615.31B,,SURG 800 31B:,26 SPRING SURG 800 31B: SURGERY CLERKSHIP,CS.CLMD,202615,active,2026-04-13T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
SURG.801.202615.32E,,SURG 801 32E:,26 SPRING SURG 801 32E: PLASTIC SURGERY,CS.CLMD,202615,active,2026-02-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
